epoch,batch,loss,lr,time
1,1,0.37488681077957153,3e-06,0.4931211471557617
1,2,0.3588886260986328,3.0095744680851066e-06,0.2702672481536865
1,3,0.1729256510734558,3.0095744680851066e-06,0.13582992553710938
1,4,0.25352558493614197,3.0191489361702126e-06,0.25479745864868164
1,5,0.16254256665706635,3.0191489361702126e-06,0.23575830459594727
1,6,0.16557128727436066,3.0287234042553187e-06,0.16903018951416016
1,7,0.10184130817651749,3.0287234042553187e-06,0.1880340576171875
1,8,0.07221722602844238,3.0382978723404248e-06,0.09557890892028809
1,9,0.046142496168613434,3.0382978723404248e-06,0.23869991302490234
1,10,0.06710128486156464,3.0478723404255313e-06,0.255734920501709
1,11,0.04409399628639221,3.0478723404255313e-06,0.15422487258911133
1,12,0.0316241979598999,3.0574468085106377e-06,0.09546113014221191
1,13,0.022653982043266296,3.0574468085106377e-06,0.2634766101837158
1,14,0.022466767579317093,3.0670212765957442e-06,0.13258838653564453
1,15,0.012146951630711555,3.0670212765957442e-06,0.13815689086914062
1,16,0.02085725963115692,3.0765957446808507e-06,0.11782264709472656
1,17,0.015121597796678543,3.0765957446808507e-06,0.11876225471496582
1,18,0.007964838296175003,3.086170212765957e-06,0.17903661727905273
1,19,0.010622244328260422,3.086170212765957e-06,0.10568928718566895
1,20,0.005258897319436073,3.0957446808510637e-06,0.1753542423248291
1,21,0.007405504584312439,3.0957446808510637e-06,0.11970663070678711
1,22,0.003414199221879244,3.10531914893617e-06,0.1188046932220459
1,23,0.0055367955937981606,3.10531914893617e-06,0.2111499309539795
1,24,0.003039431758224964,3.1148936170212763e-06,0.19977355003356934
1,25,0.004045064561069012,3.1148936170212763e-06,0.0875706672668457
1,26,0.0042301807552576065,3.1244680851063827e-06,0.1985468864440918
1,27,0.0017080178949981928,3.1244680851063827e-06,0.1460723876953125
1,28,0.0016341074369847775,3.1340425531914892e-06,0.09814047813415527
1,29,0.002871762029826641,3.1340425531914892e-06,0.09996628761291504
1,30,0.001156069803982973,3.143617021276596e-06,0.34710192680358887
1,31,0.0020676366984844208,3.143617021276596e-06,0.17412018775939941
1,32,0.0008538583060726523,3.1531914893617026e-06,0.09681916236877441
1,33,0.0007564462721347809,3.1531914893617026e-06,0.11105561256408691
1,34,0.0016937158070504665,3.162765957446809e-06,0.09814882278442383
1,35,0.0014931440819054842,3.162765957446809e-06,0.10700535774230957
1,36,0.0005428082076832652,3.1723404255319156e-06,0.2470076084136963
1,37,0.0004829840618185699,3.1723404255319156e-06,0.23358750343322754
1,38,0.0004008800024166703,3.1819148936170217e-06,0.11184310913085938
1,39,0.001157328486442566,3.1819148936170217e-06,0.2334284782409668
1,40,0.0003730857861228287,3.191489361702128e-06,0.09267020225524902
1,41,0.00031785183819010854,3.191489361702128e-06,0.2400951385498047
1,42,0.0003754904610104859,3.2010638297872342e-06,0.25839662551879883
1,43,0.000711495871655643,3.2010638297872342e-06,0.08711624145507812
1,44,0.00031265756115317345,3.2106382978723407e-06,0.2480945587158203
1,45,0.0002627666690386832,3.2106382978723407e-06,0.08389616012573242
1,46,0.0002661929465830326,3.2202127659574472e-06,0.10409998893737793
1,47,0.00027487706393003464,3.2202127659574472e-06,0.10186052322387695
1,48,0.000239532018895261,3.2297872340425533e-06,0.09904646873474121
1,49,0.0005219595623202622,3.2297872340425533e-06,0.13041973114013672
1,50,0.0002154502144549042,3.2393617021276598e-06,0.13104820251464844
1,51,0.0002160848816856742,3.2393617021276598e-06,0.08602786064147949
1,52,0.0002144666650565341,3.2489361702127663e-06,0.13997387886047363
1,53,0.00017330559785477817,3.2489361702127663e-06,0.17187881469726562
1,54,0.0004717371775768697,3.2585106382978728e-06,0.16040539741516113
1,55,0.0001647383760428056,3.2585106382978728e-06,0.08526158332824707
1,56,0.00042747275438159704,3.2680851063829792e-06,0.16736769676208496
1,57,0.00014435472257900983,3.2680851063829792e-06,0.18784689903259277
1,58,0.00038963911356404424,3.2776595744680857e-06,0.2068953514099121
1,59,0.00013862719060853124,3.2776595744680857e-06,0.1376354694366455
1,60,0.0003426453913562,3.287234042553192e-06,0.16325592994689941
