epoch,loss,lr,time
1,0.47823162144296383,0.0005,130.38283848762512
2,0.06134158108757917,0.0005,129.48492860794067
3,0.024027818092021834,0.0005,128.95135378837585
4,0.014674718247815258,0.0005,134.01748657226562
