epoch,batch,loss,lr,time
1,1,0.8033627271652222,5e-05,0.2977283000946045
1,2,0.9032549858093262,5.015957446808511e-05,0.11113786697387695
1,3,2.1830615997314453,5.015957446808511e-05,0.08649444580078125
1,4,2.168567180633545,5.031914893617022e-05,0.25391292572021484
1,5,1.7303168773651123,5.031914893617022e-05,0.23191475868225098
1,6,1.3247371912002563,5.047872340425532e-05,0.25721263885498047
1,7,0.7850890159606934,5.047872340425532e-05,0.19698238372802734
1,8,0.7739607095718384,5.0638297872340426e-05,0.25372743606567383
1,9,0.7215884327888489,5.0638297872340426e-05,0.19518399238586426
1,10,0.685805082321167,5.079787234042553e-05,0.09782886505126953
1,11,0.8271914720535278,5.079787234042553e-05,0.23367834091186523
1,12,0.722033679485321,5.0957446808510634e-05,0.09478354454040527
1,13,0.8778100609779358,5.0957446808510634e-05,0.08666491508483887
1,14,0.8711937665939331,5.111702127659574e-05,0.12180304527282715
1,15,0.8013608455657959,5.111702127659574e-05,0.1365187168121338
1,16,0.7549087405204773,5.127659574468085e-05,0.0973660945892334
1,17,0.7095573544502258,5.127659574468085e-05,0.1932389736175537
1,18,0.737515926361084,5.1436170212765954e-05,0.09985852241516113
1,19,0.6950134634971619,5.1436170212765954e-05,0.10950469970703125
1,20,0.7142153382301331,5.159574468085106e-05,0.09792113304138184
1,21,0.6930559873580933,5.159574468085106e-05,0.16528964042663574
1,22,0.7133054733276367,5.175531914893616e-05,0.17329812049865723
1,23,0.715782105922699,5.175531914893616e-05,0.13384795188903809
1,24,0.7168028354644775,5.1914893617021266e-05,0.10833287239074707
1,25,0.7071486115455627,5.1914893617021266e-05,0.09159588813781738
1,26,0.7128227949142456,5.207446808510638e-05,0.09550619125366211
1,27,0.7136682271957397,5.207446808510638e-05,0.08933281898498535
1,28,0.7198696732521057,5.223404255319148e-05,0.12300372123718262
1,29,0.722579836845398,5.223404255319148e-05,0.23206734657287598
1,30,0.7225488424301147,5.239361702127659e-05,0.25391554832458496
