timestamp,epoch,train_loss,val_loss,val_auc,val_eer,additional_info
2025-05-17 09:03:13,1,0.4670,1.6260,0.4361,0.5612,"| LMA: auc: 0.1973, eer: 0.7233 | LMA_UBO: auc: 0.5665, eer: 0.4480 | MIPGAN_I: auc: 0.4892, eer: 0.5114 | MIPGAN_II: auc: 0.4227, eer: 0.5354 | MorDiff: auc: 0.8401, eer: 0.2347 | StyleGAN: auc: 0.3937, eer: 0.5761 | LMA_MIPGAN_I: auc: 0.3447, eer: 0.6199 | mean: auc: 0.4649, eer: 0.5213 |"
2025-05-17 09:09:23,2,0.0604,2.8243,0.4845,0.5123,"| LMA: auc: 0.2500, eer: 0.6886 | LMA_UBO: auc: 0.5758, eer: 0.4513 | MIPGAN_I: auc: 0.5597, eer: 0.4560 | MIPGAN_II: auc: 0.4696, eer: 0.5012 | MorDiff: auc: 0.6855, eer: 0.3710 | StyleGAN: auc: 0.4074, eer: 0.5608 | LMA_MIPGAN_I: auc: 0.4044, eer: 0.5736 | mean: auc: 0.4789, eer: 0.5146 |"
2025-05-17 09:15:54,3,0.0243,3.0370,0.5055,0.5227,"| LMA: auc: 0.3196, eer: 0.6353 | LMA_UBO: auc: 0.5872, eer: 0.4493 | MIPGAN_I: auc: 0.6056, eer: 0.4235 | MIPGAN_II: auc: 0.5189, eer: 0.4702 | MorDiff: auc: 0.6451, eer: 0.3950 | StyleGAN: auc: 0.4324, eer: 0.5458 | LMA_MIPGAN_I: auc: 0.4634, eer: 0.5356 | mean: auc: 0.5103, eer: 0.4935 |"
